pE,pN,gap_value
2.399152542,0.6372881356,5.9290631
2.483050847,0.6372881356,10.4819037
2.566949153,0.6372881356,11.5229853
2.650847458,0.6372881356,13.0844165
2.734745763,0.6372881356,14.7979342
2.818644068,0.6372881356,17.9313501
2.902542373,0.6372881356,17.7078098
2.986440678,0.6372881356,17.4635075
3.070338983,0.6372881356,18.5590929
3.154237288,0.6372881356,19.3945124
3.238135593,0.6372881356,23.7705701
3.322033898,0.6372881356,28.1389491
3.405932203,0.6372881356,29.564599
3.489830508,0.6372881356,35.4359352
3.573728814,0.6372881356,37.0059547
3.657627119,0.6372881356,37.7841408
3.741525424,0.6372881356,40.2946903
3.825423729,0.6372881356,42.2324068
3.909322034,0.6372881356,48.081396
3.993220339,0.6372881356,48.9243306
4.077118644,0.6372881356,51.0616293
4.161016949,0.6372881356,56.2357066
4.244915254,0.6372881356,55.5471392
4.328813559,0.6372881356,58.1177844
4.412711864,0.6372881356,60.3728285
4.496610169,0.6372881356,60.9833035
4.580508475,0.6372881356,68.121368
4.66440678,0.6372881356,71.1388864
4.748305085,0.6372881356,77.6154764
4.83220339,0.6372881356,80.1003492
4.916101695,0.6372881356,82.9174478
5,0.6372881356,85.2098113
0.05,0.7211864407,219.8247533
0.1338983051,0.7211864407,170.5097076
0.2177966102,0.7211864407,139.2581376
0.3016949153,0.7211864407,114.231714
0.3855932203,0.7211864407,93.919356
0.4694915254,0.7211864407,78.1509034
0.5533898305,0.7211864407,65.1396451
0.6372881356,0.7211864407,53.7502128
0.7211864407,0.7211864407,43.960382
0.8050847458,0.7211864407,35.1752008
0.8889830508,0.7211864407,29.7943205
0.9728813559,0.7211864407,22.9977927
1.056779661,0.7211864407,19.5830598
1.140677966,0.7211864407,16.3907455
1.224576271,0.7211864407,13.9543525
1.308474576,0.7211864407,11.8343985
1.392372881,0.7211864407,9.9964649
1.476271186,0.7211864407,10.5431842
1.560169492,0.7211864407,6.6690915
1.644067797,0.7211864407,3.1799941
1.727966102,0.7211864407,3.3550799
1.811864407,0.7211864407,2.5261652
1.895762712,0.7211864407,3.4458104
1.979661017,0.7211864407,1.4070096
2.063559322,0.7211864407,0
2.147457627,0.7211864407,4.2647272
2.231355932,0.7211864407,6.5270804
2.315254237,0.7211864407,10.2198374
2.399152542,0.7211864407,10.2655628
2.483050847,0.7211864407,11.0304379
2.566949153,0.7211864407,14.3338446
2.650847458,0.7211864407,13.755808
2.734745763,0.7211864407,13.0198948
2.818644068,0.7211864407,14.3168987
2.902542373,0.7211864407,13.5514016
2.986440678,0.7211864407,19.2111387
3.070338983,0.7211864407,23.9868156
3.154237288,0.7211864407,26.3590766
3.238135593,0.7211864407,26.6892653
3.322033898,0.7211864407,28.9683008
3.405932203,0.7211864407,32.0913432
3.489830508,0.7211864407,36.8129739
3.573728814,0.7211864407,39.305898
3.657627119,0.7211864407,39.0336877
3.741525424,0.7211864407,46.9393447
3.825423729,0.7211864407,46.664931
3.909322034,0.7211864407,47.0041772
3.993220339,0.7211864407,48.2525206
4.077118644,0.7211864407,52.8688093
4.161016949,0.7211864407,57.9181842
4.244915254,0.7211864407,59.6403896
4.328813559,0.7211864407,64.2406908
4.412711864,0.7211864407,68.9396874
4.496610169,0.7211864407,69.9402617
4.580508475,0.7211864407,72.8214088
4.66440678,0.7211864407,75.7125756
4.748305085,0.7211864407,78.2497544
4.83220339,0.7211864407,79.6537013
4.916101695,0.7211864407,79.9481542
5,0.7211864407,80.1648401
0.05,0.8050847458,206.1582643
0.1338983051,0.8050847458,158.7493859
0.2177966102,0.8050847458,127.022766
0.3016949153,0.8050847458,104.1243281
0.3855932203,0.8050847458,86.382227
0.4694915254,0.8050847458,70.8827728
0.5533898305,0.8050847458,58.0872042
0.6372881356,0.8050847458,48.48742
0.7211864407,0.8050847458,38.2440648
0.8050847458,0.8050847458,30.7364893
0.8889830508,0.8050847458,26.5040523
0.9728813559,0.8050847458,21.7182248
1.056779661,0.8050847458,18.6590226
1.140677966,0.8050847458,16.3157429
1.224576271,0.8050847458,12.3240529
1.308474576,0.8050847458,9.155045
1.392372881,0.8050847458,7.5754285
1.476271186,0.8050847458,4.2625177
1.560169492,0.8050847458,2.6128791
1.644067797,0.8050847458,2.3771436
1.727966102,0.8050847458,1.1602156
1.811864407,0.8050847458,0
1.895762712,0.8050847458,2.1548105
1.979661017,0.8050847458,1.7388818
2.063559322,0.8050847458,5.9771033
2.147457627,0.8050847458,7.6395064
2.231355932,0.8050847458,7.2351303
2.315254237,0.8050847458,9.5949852
2.399152542,0.8050847458,11.1455634
2.483050847,0.8050847458,10.2364061
2.566949153,0.8050847458,10.3357474
2.650847458,0.8050847458,10.3158382
2.734745763,0.8050847458,11.8071355
2.818644068,0.8050847458,15.6752927
2.902542373,0.8050847458,18.034211
2.986440678,0.8050847458,19.5303098
3.070338983,0.8050847458,20.4994902
3.154237288,0.8050847458,25.3824726
3.238135593,0.8050847458,27.6809305
3.322033898,0.8050847458,33.677374
3.405932203,0.8050847458,35.0668782
3.489830508,0.8050847458,38.6763295
3.573728814,0.8050847458,38.3456133
3.657627119,0.8050847458,38.4235735
3.741525424,0.8050847458,40.853974
3.825423729,0.8050847458,42.966873
3.909322034,0.8050847458,51.4596452
3.993220339,0.8050847458,53.0670191
4.077118644,0.8050847458,58.4420823
4.161016949,0.8050847458,58.0108148
4.244915254,0.8050847458,60.2955789
4.328813559,0.8050847458,64.0609172
4.412711864,0.8050847458,66.8888521
4.496610169,0.8050847458,68.2641585
4.580508475,0.8050847458,70.4308974
4.66440678,0.8050847458,71.6178867
4.748305085,0.8050847458,70.571167
4.83220339,0.8050847458,73.1504527
4.916101695,0.8050847458,72.3497012
5,0.8050847458,75.3528249
0.05,0.8889830508,193.9906353
0.1338983051,0.8889830508,146.7836456
0.2177966102,0.8889830508,117.8915105
0.3016949153,0.8889830508,96.1540787
0.3855932203,0.8889830508,78.2625483
0.4694915254,0.8889830508,64.4177616
0.5533898305,0.8889830508,52.8041572
0.6372881356,0.8889830508,40.8994081
0.7211864407,0.8889830508,35.8748133
0.8050847458,0.8889830508,28.5008285
0.8889830508,0.8889830508,23.3173971
0.9728813559,0.8889830508,22.2254636
1.056779661,0.8889830508,17.0035957
1.140677966,0.8889830508,12.0726898
1.224576271,0.8889830508,11.1136798
1.308474576,0.8889830508,6.8400718
1.392372881,0.8889830508,4.2363242
1.476271186,0.8889830508,1.2255682
1.560169492,0.8889830508,1.2876148
1.644067797,0.8889830508,0
1.727966102,0.8889830508,0.5107335
1.811864407,0.8889830508,1.3129202
1.895762712,0.8889830508,3.9477008
1.979661017,0.8889830508,4.0735131
2.063559322,0.8889830508,4.6507597
2.147457627,0.8889830508,5.3264889
2.231355932,0.8889830508,4.8777491
2.315254237,0.8889830508,7.2333972
2.399152542,0.8889830508,6.0799734
2.483050847,0.8889830508,7.0036683
2.566949153,0.8889830508,8.4715933
2.650847458,0.8889830508,9.1025604
2.734745763,0.8889830508,11.9938087
2.818644068,0.8889830508,14.4736746
2.902542373,0.8889830508,16.3900914
2.986440678,0.8889830508,19.3574624
3.070338983,0.8889830508,23.187475
3.154237288,0.8889830508,30.30422
3.238135593,0.8889830508,33.1731046
3.322033898,0.8889830508,31.4594759
3.405932203,0.8889830508,32.6359473
3.489830508,0.8889830508,35.8421685
3.573728814,0.8889830508,35.8710946
3.657627119,0.8889830508,39.0939803
3.741525424,0.8889830508,44.5875147
3.825423729,0.8889830508,48.6029292
3.909322034,0.8889830508,50.9654153
3.993220339,0.8889830508,51.363355
4.077118644,0.8889830508,52.6420489
4.161016949,0.8889830508,57.3942859
4.244915254,0.8889830508,59.3460607
4.328813559,0.8889830508,60.3608199
4.412711864,0.8889830508,63.2087354
4.496610169,0.8889830508,62.4197759
4.580508475,0.8889830508,62.7592959
4.66440678,0.8889830508,62.9271343
4.748305085,0.8889830508,63.3253457
4.83220339,0.8889830508,64.7996375
4.916101695,0.8889830508,69.4933403
5,0.8889830508,69.0641882
0.05,0.9728813559,182.5136848
0.1338983051,0.9728813559,137.2267026
0.2177966102,0.9728813559,109.1708929
0.3016949153,0.9728813559,88.3691642
0.3855932203,0.9728813559,72.6048291
0.4694915254,0.9728813559,58.6837347
0.5533898305,0.9728813559,46.9402306
0.6372881356,0.9728813559,39.7274888
0.7211864407,0.9728813559,31.8745092
0.8050847458,0.9728813559,28.160237
0.8889830508,0.9728813559,22.3700775
0.9728813559,0.9728813559,17.5579574
1.056779661,0.9728813559,15.5569903
1.140677966,0.9728813559,9.7545242
1.224576271,0.9728813559,7.3682518
1.308474576,0.9728813559,3.9342898
1.392372881,0.9728813559,2.2503032
1.476271186,0.9728813559,0
1.560169492,0.9728813559,0.0197217
1.644067797,0.9728813559,1.3152193
1.727966102,0.9728813559,2.0201572
1.811864407,0.9728813559,3.5478356
1.895762712,0.9728813559,1.823349
1.979661017,0.9728813559,2.1592135
2.063559322,0.9728813559,2.6204733
2.147457627,0.9728813559,3.5960657
2.231355932,0.9728813559,3.0807798
2.315254237,0.9728813559,2.5525526
2.399152542,0.9728813559,3.7385278
2.483050847,0.9728813559,5.4259925
2.566949153,0.9728813559,6.0848346
2.650847458,0.9728813559,9.6581325
2.734745763,0.9728813559,9.4642464
2.818644068,0.9728813559,14.8591903
2.902542373,0.9728813559,18.6869302
2.986440678,0.9728813559,24.6440397
3.070338983,0.9728813559,29.0048317
3.154237288,0.9728813559,28.2088198
3.238135593,0.9728813559,28.297077
3.322033898,0.9728813559,29.6339007
3.405932203,0.9728813559,32.6294982
3.489830508,0.9728813559,36.2056104
3.573728814,0.9728813559,37.3714176
3.657627119,0.9728813559,43.5462571
3.741525424,0.9728813559,43.9672915
3.825423729,0.9728813559,43.4541235
3.909322034,0.9728813559,49.454014
3.993220339,0.9728813559,49.2099573
4.077118644,0.9728813559,49.8623125
4.161016949,0.9728813559,52.3212014
4.244915254,0.9728813559,54.619501
4.328813559,0.9728813559,54.767098
4.412711864,0.9728813559,54.8420323
4.496610169,0.9728813559,57.3372845
4.580508475,0.9728813559,55.4482696
4.66440678,0.9728813559,59.9364486
4.748305085,0.9728813559,61.62545
4.83220339,0.9728813559,66.9892807
4.916101695,0.9728813559,66.2612512
5,0.9728813559,67.8905051
0.05,1.056779661,173.8233543
0.1338983051,1.056779661,131.1993846
0.2177966102,1.056779661,103.4426752
0.3016949153,1.056779661,84.0031506
0.3855932203,1.056779661,68.4897154
0.4694915254,1.056779661,54.9415893
0.5533898305,1.056779661,46.8369263
0.6372881356,1.056779661,36.582865
0.7211864407,1.056779661,33.0998135
0.8050847458,1.056779661,27.1630253
0.8889830508,1.056779661,21.3324239
0.9728813559,1.056779661,18.6737934
1.056779661,1.056779661,11.5418098
1.140677966,1.056779661,8.4019465
1.224576271,1.056779661,4.588495
1.308474576,1.056779661,2.9277981
1.392372881,1.056779661,2.3478446
1.476271186,1.056779661,0.810559
1.560169492,1.056779661,2.6804622
1.644067797,1.056779661,3.2353947
1.727966102,1.056779661,1.509825
1.811864407,1.056779661,2.5960577
1.895762712,1.056779661,2.9583073
1.979661017,1.056779661,2.6511612
2.063559322,1.056779661,0
2.147457627,1.056779661,1.9900276
2.231355932,1.056779661,1.4647145
2.315254237,1.056779661,2.6428868
2.399152542,1.056779661,5.115974
